Feature,Importance
TransactionDate_2025-05-21,3.142182222932078e-08
TransactionDate_2024-05-29,3.074028968491616e-08
TransactionDate_2024-01-31,3.0200854043648554e-08
CustomerID_AC-108598,2.9594151256868725e-08
CustomerID_AC-107953,2.902864097742042e-08
CustomerID_AC-107792,2.8250487960763298e-08
CustomerID_AC-104668,2.8126195128691495e-08
CustomerID_AC-100093,2.7631929262649157e-08
TransactionDate_2024-01-10,2.7404168532704697e-08
CustomerID_AC-102883,2.7109204411163686e-08
CustomerID_AC-109537,2.65507361376887e-08
TransactionDate_2025-06-09,2.6022598448207208e-08
CustomerID_AC-106790,2.5811321670495034e-08
CustomerID_AC-104341,2.5725827644349215e-08
CustomerID_AC-103789,2.5595605327852006e-08
TransactionDate_2024-06-06,2.524299743506381e-08
TransactionDate_2025-02-11,2.4899563387814744e-08
TransactionDate_2024-12-07,2.4786833612776948e-08
TransactionDate_2024-11-24,2.4668179748425918e-08
CustomerID_AC-100412,2.3225181258415987e-08
TransactionDate_2024-09-30,2.2694239850032114e-08
TransactionDate_2024-02-19,2.176179977010397e-08
CustomerID_AC-100610,2.127613133904788e-08
TransactionDate_2024-08-13,2.0948262099442916e-08
CustomerID_AC-108273,1.9509128983090695e-08
TransactionDate_2025-04-21,1.881845517539782e-08
CustomerID_AC-104811,1.846592676464975e-08
CustomerID_AC-105274,1.8351265226384926e-08
TransactionDate_2024-09-26,1.8245511133828777e-08
CustomerID_AC-106924,1.812374958451796e-08
CustomerID_AC-107089,1.7620899600252512e-08
TransactionDate_2024-05-10,1.7580375458701792e-08
CustomerID_AC-105177,1.708558203802551e-08
CustomerID_AC-109139,1.5993658291321158e-08
TransactionDate_2024-07-19,1.573190042778296e-08
CustomerID_AC-105314,1.5403965449853357e-08
TransactionDate_2025-04-14,1.4889366355372131e-08
TransactionDate_2025-03-15,1.484400069471578e-08
TransactionDate_2025-02-25,1.4705333651298562e-08
TransactionDate_2025-02-02,1.4616341115234837e-08
CustomerID_AC-102510,1.4094581465069247e-08
CustomerID_AC-105507,1.3993195878601297e-08
CustomerID_AC-102496,1.3945399945863742e-08
CustomerID_AC-104038,1.3679149725081459e-08
CustomerID_AC-107117,1.3604852345679173e-08
TransactionDate_2024-06-14,1.3380564644486831e-08
TransactionDate_2025-05-25,1.3312805383446027e-08
TransactionDate_2025-03-26,1.2735333735046164e-08
TransactionDate_2024-05-13,1.2575271478728257e-08
CustomerID_AC-100614,1.2565657022792138e-08
TransactionDate_2025-01-24,1.2393516508568893e-08
CustomerID_AC-100857,1.2393385470899746e-08
TransactionDate_2024-04-03,1.2097913510998935e-08
TransactionDate_2024-07-01,1.2096481992831469e-08
CustomerID_AC-102988,1.1938932155897387e-08
TransactionDate_2024-01-18,1.1791917041573372e-08
CustomerID_AC-103199,1.148162628136203e-08
CustomerID_AC-104714,1.0843434256515167e-08
TransactionDate_2024-06-26,1.0819399758453467e-08
CustomerID_AC-102185,1.0760832652936667e-08
CustomerID_AC-107070,1.0448880324161262e-08
TransactionDate_2024-02-15,1.0305082283833873e-08
CustomerID_AC-104389,1.0181858823144225e-08
TransactionDate_2024-03-17,1.0060874541871222e-08
TransactionDate_2024-05-14,9.990699261563195e-09
CustomerID_AC-104170,9.882798791869177e-09
TransactionDate_2025-06-25,9.576116309317139e-09
TransactionDate_2025-06-18,9.531973354958109e-09
TransactionDate_2024-10-29,9.471730723424248e-09
